Name,Ct,Time
fix 0a,9.34,0
fix 0a,9.37,0
fix 0b,9.38,0
fix 0b,9.40,0
fix 0c,9.36,0
fix 0c,9.43,0
fix 0d,9.34,0
fix 0d,9.33,0
fix 1a,13.87,48.249
fix 1a,13.88,48.249
fix 1b,17.19,48.249
fix 1b,17.28,48.249
fix 1c,15.59,48.249
fix 1c,15.68,48.249
fix 1d,14.05,48.249
fix 1d,14.21,48.249
fix 2a,15.44,96.672
fix 2a,15.46,96.672
fix 2b,16.16,96.672
fix 2b,16.23,96.672
fix 2c,12.89,96.672
fix 2c,12.97,96.672
fix 2d,15.07,96.672
fix 2d,15.10,96.672
fix 3a,17.65,168.084
fix 3a,17.75,168.084
fix 3b,18.14,168.084
fix 3b,18.16,168.084
fix 3c,18.24,168.084
fix 3c,18.27,168.084
fix 3d,20.19,168.084
fix 3d,20.33,168.084